TXID,Size,time,min_value,max_value
934ebabe8e997ad1b581476a88066be54127300d913e027d4339016e492f00bf,256,1510267029,9216,64512
024ef686a08cfab2784c709bd622a91a076fca7bae37f85cbe7d7dd7b207ffb6,226,1510264650,13114.86569,65574.32847
c0310dbbb92b14516b7b1a36902cd0a3d6b3f15a5baf561bd95304fb0c3246eb,223,1510267028,5770.701993,23082.80797
7a2e8e18e50db6c9124747916a5a4154f4e4bdb9d185d2be5129354f5e51d877,374,1510265927,30701.59254,276314.3328
6b3fab2517303f3464d26681de150b62f1e279de1eed4d87c88d27e4001c445c,226,1510266506,23315.31679,69945.95037
26a55254efdd3da60b47db2cd4844b628187e9d806eb68647139aeef918258ad,223,1510265552,9752.486367,39009.94547
3199aed3be50cc477de99c0be89846d4a17295c59411c6baf05c342c5babf65a,225,1510265236,20972.20482,146805.4337
f539e2ed4a6a64a6732da1e614fe411729480c6408633df9cd25adefa0855379,226,1510265086,7052.883329,49370.1833
97b503c38d57f158bcb1c559a352f27cb02d9430fc17bfb2fa033de2823bfb4a,226,1510266924,11424.50523,114245.0523
f120595d4da7552c1039182f54189c6d401f62aba341fea74d774e85bbc6453f,226,1510264710,16845.31638,16845.31638
b80910a9e3236fd1aa08cc47f14491280d73be188d16eb7c81caac7c3da3e909,225,1510265236,11386.57104,56932.85519
ef14762e6e44b00a38911e85e5855dede3cec62c6377776ef2edb5e409d0674a,404,1510265603,23068.85234,69206.55701
76f303e613edd0781f932b24c613032ab0ea9facef2703a1be06f70976e2efe9,373,1510266478,10269.91843,20539.83686
859d12f54107dc8d6f4565734ea4a0c39b1caef5913bd51a8da7aabaede0afcb,191,1510266649,18547.36537,111284.1922
a17869a0b96e1a6b3cf11569d7b43f4a4a1b994456399473ed73ac371e7d31a9,225,1510265387,18822.69906,18822.69906
5e050629e542d53b56aff0744b1883c4c448f73e67bd73fa9df19de5a7d7515e,226,1510266953,13114.86569,91804.05986
f120595d4da7552c1039182f54189c6d401f62aba341fea74d774e85bbc6453f,226,1510264710,16845.31638,16845.31638
