TXID,fee,output,removed,size,time
0003258e03426590a8d6b3e1e6eee77f0c5ef00da5d15908bae80e68d92c58ba,65314,1490886,1510262777,225,1510262125
0009b3be525f0e04919d4b76c091fa6b655e603b1a484cbd4eb733949fce7fae,72906,316792272,1510262777,225,1510262574
001139fb176aeb3e410a1a1dd92befdea543b648a61328be32c4770e43d66781,49201,199950799,1510264653,168,1510264203
0017627b69f2e0aa9dde8c7e1f9da4e4833dace6967250e660f3fdf5069a58d1,72909,1887241007,1510264643,226,1510264011
001f6419f9f0df1b0e3e588c4945e2da9a01532e475490f8f7aa8451eb58f3a8,65736,3251634,1510261767,225,1510261644
0027763f4fadcf05f09435d0ed3e82a9f0f247f880a3eccfd8898770a9dd4225,10170,1558154,1510309099,192,1510263153
0027c77e73b15ec00c5a3919784cbd041aae322c89ae0aa6efa8338123141ddd,72908,4220072,1510261767,226,1510261446
0028b5a7e6c356fa0565e8aebaa49678a194345f977aa92eb295e32a5c49e7ee,63492,41351481,1510262777,250,1510261783
002ac1014930e04cd73f706fb70ee2431198f59df134e1f68473bd704fa589e8,81200,9918800,1510265883,403,1510261743
002b9d2436c64995dccf9c8e849c7778553b6a86b13bc5cf75431b5846f44b57,109389,2760315,1510262777,373,1510262564
0036b4f7640203cf87461cd33f6059e6440e2f1bf0cda24416d17ea7c0c29b21,16800,11932200,1510296747,168,1510263371
0037a504d7793df10f1459e80d66b36086f011a9a5b1fe4c977825f48dd18960,65700,24590872,1510264653,225,1510263076
0042f20aa7528444e40afe7a6a6d38fec3535328a610ae5c8da70290701fe327,112200,9213993,1510262777,374,1510262087
00438131876c08c8ab353bfd14f12b36f2db3bd0aca3243be031d1605d8a6ba6,72906,341897513,1510262777,226,1510262617
004f2b4656f00f59a180b6b272865aab9d254f372243bc00884be6e006569b4f,42488,12236423,1510266190,226,1510262556
0050a757c87a99516f312bb1eedc12a405f32e7dcd92f95cba49c44b176a5cae,35380,2002901,1510267834,255,1510263664
005be3ac8ca62cb7dc931d9fb4dd10b73b494fb6e4a76705c0174d78c379596d,128961,2963435,1510264653,467,1510263635
005f5572d27c769e554e31f1ba59772e3a1b24100fc41d31a68d997cb0810437,63280,412311724,1510262777,226,1510261812
0068fe9b61b937887f41201c520bcabf72a9347c356793c21046da64a0349472,72906,1927094,1510262777,226,1510261928
006e59111fc35cebc12afee212274f7dda70802d6e921f426d3fec3fa05ad306,135600,7841464,1510264643,226,1510263977
00734b46bf38b972fd499bea3c39e8ce470b4d8f534029244521f0eb489400d8,45443,196557,1510263059,190,1510262216
0077515c69cbe92cadee019c563fe98d2479628aeabba74e52947dd3efb66e67,72906,167177,1510262777,225,1510261812
007a5d76b29d4c30fe3b3a63366ba660fae13545088787345fba855fadaa0649,72909,267571255,1510264643,225,1510263788
00826d0a8a892fa55fa68219557556137dc7f965f52777a18afce452b2b5ed66,72909,126845637,1510264643,226,1510263574
0085b5191f966b90a600d3888df34a56c7cf280fde32c0656f7147213e446b5f,65992,4921285,1510262777,192,1510262471
0089a45a6da616e7b99d1374bcfced550b17d9f8d78e8d653e6e7e864141de13,66528,1961560,1510264653,224,1510263163
00958b54120a6d9ab87d874b8555d2a01dab0e070a5bcd21c7d39980a79ff04d,63100,1522700,1510264653,223,1510263195
009796a730e0295aa5262844df6c22d3a567c2ae2e6a48268505425a88207d43,65339,1945242794,1510262777,192,1510262287
0099e5dd0044ecf662dbf002b524ba30387d9e42c1c7328aeddfb2e2ff48c0d3,65736,3949751,1510263059,226,1510262885
009a4c138814799d20a9483f9895fe6952835704026377ef21a0ea1632112d1a,8814,3539198,1510267834,225,1510262195
00a008b811c6393353f234a34134e5aed2945bee8e9d19225142e9dc4487ec86,63506,1726192,1510264653,226,1510264117
00b60269b00dd1f1bd705c35a6c5a5dfa6b93dee5495ed172ba0fa92ea8ae6ab,65339,102744580,1510264653,226,1510263343
00bd9059052de3f6964f31d7cfcf909ffc0ff3292992bb3da6bbca644a780817,67694,0,1510265883,339,1510264095
00ca4f9205fa532ba147afba519ed47d2e412dd16cfa345f059a7974bc633674,6374,23091,1510871933,191,1510261477
00dac436a445083a6d1efc14c4765d2a1690d7a513e517d43b93ba438cc9e9b7,100861,22137119,1510264653,338,1510264193
00de52afcddb64c2a53c0256e259161c10f6de7ba23df66ebf3df3ae5523e4f2,108785,4374445,1510262777,373,1510262317
00e08088e6368e8a3e3a4bffa7c7ce9928a879b54b52b7cd4971a8a4fce61cdd,48364,892178,1510265587,225,1510261544
00e088747b89aa58a67f24069497a8cfc6835e8b53660eb0c5ade867b7dd710e,72906,0,1510261767,225,1510261653
00efe1d85bcccf32332862b9788c0cd36821321eeedf235b0e038356e5827010,65540,689934460,1510261767,223,1510261534
00f663ac555e07e534a0465e93fe987b218ee8ef4767913f0311548c6fad0cfa,41132,7418127,1510266190,226,1510264319
01097faa88ba04dffa1b24b71f7b2b1771ad01c5d0c454a918520adac65533e3,72556,3106882,1510267730,373,1510263251
010b3dbbd6b37a8e0bc2428e56f7649c4bffb3bf366dd537da6b560625c10db2,104927,1385073,1510264653,371,1510263094
0112d5f26cfb04b8f32910724cc81d448bfef8ef88f53b20d102daf92fa54ae3,72906,449222497,1510262777,226,1510262650
01210a6892c01137c8042a194e55f97e71bb4227c9dde8ad20ef7747d09286f0,72908,142490,1510261767,223,1510261725
0122df5d587fdc7f06a103b818884d75df3e448b600fb2967f77cef52c3727e0,46412,12514614,1510264653,192,1510263301
012355397e2be2275c85c5e076a04fb60aeef152e90dcda0eea02f7127d64c45,195392,52100061,1510262777,668,1510261909
012bd110acc69459e585318a4cd4ff65eb032cb07cf6b37f1897ceb9dca83cc5,24634,219097,1510270136,226,1510261496
012ca8160e14e956e060147745a52980a6faba0e98904885e9a5982bd2642051,43844,8706156,1510265587,223,1510263263
01310871d1b150152a11f87d9774a568353e7be70b6af20353fa3bbd9a6dffdf,104720,928607,1510263059,374,1510262934
01345926a1dddea98376930fe25f8b8fd4646736e127964a72b8b4329baaa2a1,43844,556044,1510264653,191,1510263134
013d386e297b9b8e12d3c83efa8dc5be90026714316aaa53287adaf21509908c,42334,2376666,1510263059,225,1510261468
0142f3c0b3bb8a81b081819adfa5eb7931071b3fe6f22be13c61c427c64f69ab,151834,8897076,1510263059,520,1510262824
01440c6562580d2edeedf3362c51fb2ad541bd4f0a646b5353b637df5233ff64,198494,1081348,1510264653,667,1510264117
0148a09554bfc7d522a89b973c6a6b57ced636d9d14cc2ce54f7339f90f6d24e,65154,2056989,1510261767,223,1510261644
014d3994da7ce11095aeedf850ccbe0df19b7e0e9b05493fee75830c2434fd06,72906,758359,1510264643,226,1510263094
0150e3e13d378447d8c119e577eae7e050544bb7aa18a88baf2bdc78f30c8ffd,72000,8008353,1510261767,223,1510261613
