Index,Time,Bid,Utility
1,300,1280,54016.0
2,-1,-1,0
3,300,1115,19082.45697383333
4,240,31790,224056.60444499998
5,300,1130,61044.17810666667
6,240,18955,17616.823878083334
7,0,45000,101805.4337
8,720,1130,16502.208321749997
9,300,1130,95978.294455
10,720,1130,15715.31638
11,720,1125,21648.1420775
12,600,2020,40272.895952499995
13,360,1865,16107.357252499998
14,180,16235,95049.1922
15,720,1125,17697.69906
16,300,1130,77559.19416500001
17,720,1130,15715.31638
18,0,38200,44004.38945
19,0,45200,59718.9256
20,180,19125,112633.8934
21,300,1280,54016.0
22,300,2610,108126.510085
23,720,960,12115.366930250002
24,240,16065,68755.27478749999
25,180,17510,199990.5736
26,180,42750,61355.7923
27,0,45200,106407.8474
28,-1,-1,0
29,240,18955,58872.53420416667
30,480,1285,46855.55644500001
31,180,171600,110652.31
32,360,1125,53440.4941175
33,240,18955,117695.22317499999
34,-1,-1,0
35,300,1115,48743.86521833334
36,-1,-1,0
37,720,955,10142.59257575
38,120,164560,886146.7340000002
39,300,840,57598.88238
40,300,3170,41051.654566666664
41,720,2610,52676.349332500016
42,240,18955,77069.48114999999
43,600,1120,33273.189985
44,600,870,24249.98664233333
45,180,42560,142723.1784
46,720,1130,14738.987489249994
47,600,3340,102138.1881625
48,360,955,19274.986465
49,720,1130,13646.082015499998
50,-1,-1,0
51,-1,-1,0
52,0,38200,77399.9227
53,-1,-1,0
54,300,1125,89754.55421999999
55,720,945,18628.909562500005
56,0,44600,116979.65580000001
57,-1,-1,0
58,720,1130,19926.645474999998
59,240,31620,126495.32940000002
60,-1,-1,0
61,720,955,15691.38886
62,180,36290,128118.7789
63,0,44800,71001.9865
64,180,19040,148293.8705
65,360,1865,103168.256665
66,180,19125,115190.0624
67,180,171930,133411.84389999998
68,300,1130,38700.332849666665
69,0,45000,44233.53630000001
70,300,3900,322874.808275
71,300,1280,69376.0
72,0,38200,78324.722
73,300,1130,99941.89831333334
74,120,19125,98400.6796
75,300,1125,13747.25605
76,720,1115,30133.3512875
77,0,45000,122893.82810000001
78,360,1130,22185.31679
79,0,45000,38656.440279999995
80,300,1130,80473.608765
81,480,1130,36951.68409416666
82,600,955,18213.179767833335
83,720,1870,26875.535397499996
84,0,42800,37993.704809999996
85,720,1860,30666.5820475
86,360,4930,55423.40905999999
87,480,1865,43882.8184625
88,240,16235,49220.24509666666
89,720,1125,8693.012783
90,720,1125,8693.012783
91,720,1125,13602.019174750001
92,720,955,15691.38886
93,300,1130,85904.13464666667
94,240,31620,126495.32940000002
95,-1,-1,0
96,360,1030,28835.547513499998
97,720,955,13893.16784
98,-1,-1,0
99,360,7070,59569.98641
100,720,1125,31814.7233575
101,240,31790,224056.60444499998
102,360,955,46877.679115
103,720,945,14041.274510499998
104,0,45200,123136.58720000001
105,0,133200,121660.1489
106,0,73800,108559.43040000001
107,300,1130,29753.08003
108,180,19125,143540.3005
109,-1,-1,0
110,300,955,61931.357933499996
111,300,1280,17216.0
112,120,19125,98400.6796
113,120,28560,94495.3546
114,360,1130,13558.649578749999
115,360,4930,55423.40905999999
116,180,42940,83312.4404
117,240,19040,59343.4696
118,0,45000,117665.30050000001
119,360,1025,28731.747605250002
120,300,2605,188160.95192999998
121,240,11390,41726.96135166667
122,300,1070,47784.826813499996
123,480,1125,31795.35844041667
124,120,31450,132551.3993
125,180,62700,101062.7713
126,240,16320,59114.809217500006
127,180,42750,62111.024099999995
128,720,1125,24059.074212499996
129,300,1130,13791.80275
130,720,5555,72381.44060999999
131,180,19125,213254.0008
132,720,1130,16502.208321749997
133,300,945,30922.072385333333
134,300,1130,29753.08003
135,300,1865,105375.01601166667
136,720,5555,72381.44060999999
137,240,44285,114238.30730583332
138,720,1125,14691.29573975
139,600,955,14963.537500166667
140,240,31620,126495.32940000002
141,720,2590,24772.001385000003
142,180,16320,134085.4042
143,-1,-1,0
144,600,1125,33983.59403583333
145,300,1280,69376.0
146,180,49020,43679.47437000001
147,-1,-1,0
148,600,960,9562.188773583333
149,240,19210,117563.47709999999
150,300,1130,49231.084265833335
151,720,840,17078.975909999997
152,300,1130,61044.17810666667
153,180,154660,241717.1912
154,180,19210,120681.9007
155,480,1120,14802.773143333334
156,120,19040,168559.2181
157,480,1865,43882.8184625
158,300,4805,260309.66791333334
159,-1,-1,0
160,0,45200,49227.03300000001
161,0,45000,47951.60031000001
162,240,16065,68755.27478749999
163,300,1130,41556.45915733333
164,120,31790,118231.07819999999
165,-1,-1,0
166,360,1130,10294.505229999999
167,-1,-1,0
168,360,2025,20725.545177499996
169,0,44600,116979.65580000001
170,0,97200,135694.7615
171,240,44285,114238.30730583332
172,600,1115,28099.17883416667
173,720,1865,16107.357252499998
174,300,950,87754.83440166665
175,180,42940,83312.4404
176,720,1125,8693.012783
177,720,1120,17639.92181
178,300,1865,40912.18089833333
179,0,45000,143749.8434
180,180,122760,46649.28150000001
181,180,73920,56357.234800000006
182,240,19210,29363.576648166665
183,720,1120,4670.099324
184,720,3325,72104.06378750001
185,300,1125,95660.85384
186,300,1125,71628.99216
187,180,74580,60182.53099999999
188,300,1125,55517.38144
189,720,1305,19474.273475
190,360,1130,7263.514045
191,240,21930,70082.81158916667
192,360,1125,24901.4480875
193,300,1865,37969.83512166666
194,240,18360,86813.6838125
195,360,1130,22185.31679
196,360,1125,32264.95767325
197,720,1120,22040.3973
198,300,1130,85904.13464666667
199,180,31535,306600.2313
200,240,19125,50588.7002315
201,720,1120,16250.297973000008
202,300,840,20189.909226833333
203,720,1285,9562.67205
204,720,955,4182.774340999999
205,0,45000,143226.9906
206,240,19210,68921.89746666668
207,720,1130,24137.974570000002
208,180,36290,128118.7789
209,720,1860,23043.164385
210,300,1865,37969.83512166666
211,300,1130,55701.08467333334
212,300,1115,87609.54316333332
213,720,2595,34157.95126
214,120,31705,118015.1331
215,720,945,6701.058424749999
216,300,1125,82328.1086555
217,720,1125,17465.3200625
218,180,42750,89008.8934
219,360,955,46877.679115
220,600,1125,14366.933386083334
221,300,1855,55853.412808333334
222,300,1125,4684.4750189999995
223,240,30685,46833.658815
224,120,19210,98707.2147
225,240,19125,28444.9179525
226,300,960,59001.002193333334
227,480,1860,61668.480566666665
228,180,31790,308393.8508
229,480,1120,16848.6082375
230,0,42800,37993.704809999996
231,360,1755,22228.0874325
232,300,1125,38534.34946666667
233,240,18955,101147.73519
234,0,45200,164637.8511
235,240,16235,155024.14472166667
236,0,45200,105883.25279999999
237,0,45000,47951.60031000001
238,720,1860,6610.464076
239,720,1860,10951.5769125
240,0,45200,106407.8474
241,0,45200,102094.51379999999
242,-1,-1,0
243,0,45000,122893.82810000001
244,300,1855,91921.1708
245,720,16375,111661.3342525
246,720,955,15485.877887499999
247,180,63360,39798.7135
248,120,19210,115086.22469999999
249,240,19125,50588.7002315
